c_ClaveProdServ	Descripción
31311110	Ensambles de tubería soldada de solvente de titanio
31311111	Ensambles de tubería soldada de solvente de aleación wasp
31311112	Ensambles de tubería soldada de solvente de cobre
31311113	Ensambles de tubería soldada de solvente de latón
31311200	Conjuntos de tubería remachada
31311201	Ensambles de tubería remachada de aluminio
31311202	Ensambles de tubería remachada de acero al carbono
31311203	Ensambles de tubería remachada de aleación hast x
31311204	Ensambles de tubería remachada de inconel
31311205	Ensambles de tubería remachada de acero de aleación baja
31311206	Ensambles de tubería remachada no metálica
31311209	Ensambles de tubería remachada de acero inoxidable
31311210	Ensambles de tubería remachada de titanio
31311211	Ensambles de tubería remachada de aleación wasp
31311212	Ensambles de tubería remachada de cobre
31311213	Ensambles de tubería remachada de latón
31311300	Conjuntos empernados de tubería
31311301	Ensambles de tubería atornillada de aluminio
31311302	Ensambles de tubería atornillada de acero al carbono
31311303	Ensambles de tubería atornillada de aleación hast x
31311304	Ensambles de tubería atornillada de inconel
31311305	Ensambles de tubería atornillada de acero de aleación baja
31311306	Ensambles de tubería atornillada no metálica
31311309	Ensambles de tubería atornillada de acero inoxidable
31311310	Ensambles de tubería atornillada de titanio
31311311	Ensambles de tubería atornillada de aleación wasp
31311312	Ensambles de tubería atornillada de cobre
31311313	Ensambles de tubería atornillada de latón
31311400	Conjuntos de tuberías soldadas con ultra violeta UV
31311401	Ensambles de tubería soldada con ultra violeta de aluminio
31311402	Ensambles de tubería soldada con ultra violeta de acero al carbono
31311403	Ensambles de tubería soldada con ultra violeta de aleación hast x
31311404	Ensambles de tubería soldada con ultra violeta de inconel
31311405	Ensambles de tubería soldada con ultra violeta de acero de aleación baja
31311406	Ensambles de tubería soldada con ultra violeta no metálica
31311409	Ensambles de tubería soldada con ultra violeta de acero inoxidable
31311410	Ensambles de tubería soldada con ultra violeta de titanio
31311411	Ensambles de tubería soldada con ultra violeta de aleación wasp
31311412	Ensambles de tubería soldada con ultra violeta de cobre
31311413	Ensambles de tubería soldada con ultra violeta de latón
31311500	Conjuntos de tubería soldado o soldado con latón
31311501	Ensambles de tubería con soldadura fuerte o débil de aluminio
31311502	Ensambles de tubería con soldadura fuerte o débil de acero al carbono
31311503	Ensambles de tubería con soldadura fuerte o débil de aleación hast x
31311504	Ensambles de tubería con soldadura fuerte o débil de inconel
31311505	Ensambles de tubería con soldadura fuerte o débil de acero de aleación baja
31311506	Ensambles de tubería con soldadura fuerte o débil no metálica
31311509	Ensambles de tubería con soldadura fuerte o débil de acero inoxidable
31311510	Ensambles de tubería con soldadura fuerte o débil de titanio
31311511	Ensambles de tubería con soldadura fuerte o débil de aleación wasp
31311512	Ensambles de tubería con soldadura fuerte o débil de cobre
31311513	Ensambles de tubería con soldadura fuerte o débil de latón
31311600	Conjuntos de tubería soldada sónica
31311601	Ensambles de tubería con soldadura sónica de aluminio
31311602	Ensambles de tubería con soldadura sónica de acero al carbono
31311603	Ensambles de tubería con soldadura sónica de aleación hast x
31311604	Ensambles de tubería con soldadura sónica de inconel
31311605	Ensambles de tubería con soldadura sónica de acero de aleación baja
31311606	Ensambles de tubería con soldadura sónica no metálica
31311609	Ensambles de tubería con soldadura sónica de acero inoxidable
31311610	Ensambles de tubería con soldadura sónica de titanio
31311611	Ensambles de tubería con soldadura sónica de aleación wasp
31311612	Ensambles de tubería con soldadura sónica de cobre
31311613	Ensambles de tubería con soldadura sónica de latón
31311700	Conjuntos de tubería pegada
31311701	Ensambles de tubería pegada de aluminio
31311702	Ensambles de tubería pegada de acero al carbono
31311703	Ensambles de tubería pegada de aleación hast x
31311704	Ensambles de tubería pegada de inconel
31311705	Ensambles de tubería pegada de acero de aleación baja
31311706	Ensambles de tubería pegada no metálica
31311709	Ensambles de tubería pegada de acero inoxidable
31311710	Ensambles de tubería pegada de titanio
31311711	Ensambles de tubería pegada de aleación wasp
31311712	Ensambles de tubería pegada de cobre
31311713	Ensambles de tubería pegada de latón
31321100	Conjuntos ligados de material en barras
31321101	Ensambles de barras pegadas de aluminio
31321102	Ensambles de barras pegadas de acero al carbono
31321103	Ensambles de barras pegadas de aleación hast x
31321104	Ensambles de barras pegadas de inconel
31321105	Ensambles de barras pegadas de acero de aleación baja
31321106	Ensambles de barras pegadas no metálica
31321109	Ensambles de barras pegadas de acero inoxidable
31321110	Ensambles de barras pegadas de titanio
31321111	Ensambles de barras pegadas de aleación wasp
31321112	Ensambles de barras pegadas de cobre
31321113	Ensambles de barras pegadas de latón
31321200	Conjuntos soldados de solvente de material en barras
31321201	Ensambles de barras soldadas con solvente de aluminio
31321202	Ensambles de barras soldadas con solvente de acero al carbono
31321203	Ensambles de barras soldadas con solvente de aleación hast x
31321204	Ensambles de barras soldadas con solvente de inconel
31321205	Ensambles de barras soldadas con solvente de acero de aleación baja
31321206	Ensambles de barras soldadas con solvente no metálica
31321209	Ensambles de barras soldadas con solvente de acero inoxidable
31321210	Ensambles de barras soldadas con solvente de titanio
31321211	Ensambles de barras soldadas con solvente de aleación wasp
31321212	Ensambles de barras soldadas con solvente de cobre
31321213	Ensambles de barras soldadas con solvente de latón
31321300	Conjuntos remachados de material en barras
31321301	Ensambles de barras remachadas de aluminio
31321302	Ensambles de barras remachadas de acero al carbono
31321303	Ensambles de barras remachadas de aleación hast x
31321304	Ensambles de barras remachadas de inconel
31321305	Ensambles de barras remachadas de acero de aleación baja
31321306	Ensambles de barras remachadas no metálica
31321309	Ensambles de barras remachadas de acero inoxidable
31321310	Ensambles de barras remachadas de titanio
31321311	Ensambles de barras remachadas de aleación wasp
31321312	Ensambles de barras remachadas de cobre
31321313	Ensambles de barras remachadas de latón
31321400	Conjuntos soldados o soldados en fuerte de material en barras
31321401	Ensambles de barras soldadas con soldadura fuerte o débil de aluminio
31321402	Ensambles de barras soldadas con soldadura fuerte o débil de acero al carbono
31321403	Ensambles de barras soldadas con soldadura fuerte o débil de aleación hast x
31321404	Ensambles de barras soldadas con soldadura fuerte o débil de inconel
31321405	Ensambles de barras soldadas con soldadura fuerte o débil de acero de aleación baja
31321406	Ensambles de barras soldadas con soldadura fuerte o débil no metálica
31321409	Ensambles de barras soldadas con soldadura fuerte o débil de acero inoxidable
31321410	Ensambles de barras soldadas con soldadura fuerte o débil de titanio
31321411	Ensambles de barras soldadas con soldadura fuerte o débil de aleación wasp
31321412	Ensambles de barras soldadas con soldadura fuerte o débil de cobre
31321413	Ensambles de barras soldadas con soldadura fuerte o débil de latón
31321500	Conjuntos de barras soldadas con ultra violeta UV
31321501	Ensambles de barras soldadas con soldadura ultra violeta de aluminio
31321502	Ensambles de barras soldadas con soldadura ultra violeta de acero al carbono
31321503	Ensambles de barras soldadas con soldadura ultra violeta de aleación hast x
31321504	Ensambles de barras soldadas con soldadura ultra violeta de inconel
31321505	Ensambles de barras soldadas con soldadura ultra violeta de acero de aleación baja
31321506	Ensambles de barras soldadas con soldadura ultra violeta no metálica
31321509	Ensambles de barras soldadas con soldadura ultra violeta de acero inoxidable
31321510	Ensambles de barras soldadas con soldadura ultra violeta de titanio
31321511	Ensambles de barras soldadas con soldadura ultra violeta de aleación wasp
31321512	Ensambles de barras soldadas con soldadura ultra violeta de cobre
31321513	Ensambles de barras soldadas con soldadura ultra violeta de latón
31321600	Conjuntos sónicos soldados de material en barras
31321601	Ensambles de barras soldadas con soldadura sónica de aluminio
31321602	Ensambles de barras soldadas con soldadura sónica de acero al carbono
31321603	Ensambles de barras soldadas con soldadura sónica de aleación hast x
31321604	Ensambles de barras soldadas con soldadura sónica de inconel
31321605	Ensambles de barras soldadas con soldadura sónica de acero de aleación baja
31321606	Ensambles de barras soldadas con soldadura sónica no metálica
31321609	Ensambles de barras soldadas con soldadura sónica de acero inoxidable
31321610	Ensambles de barras soldadas con soldadura sónica de titanio
31321611	Ensambles de barras soldadas con soldadura sónica de aleación wasp
31321612	Ensambles de barras soldadas con soldadura sónica de cobre
31321613	Ensambles de barras soldadas con soldadura sónica de latón
31321700	Conjuntos empernados de material en barras
31321701	Ensambles de barras atornilladas de aluminio
31321702	Ensambles de barras atornilladas de acero al carbono
31321703	Ensambles de barras atornilladas de aleación hast x
31321704	Ensambles de barras atornilladas de inconel
31321705	Ensambles de barras atornilladas de acero de aleación baja
31321706	Ensambles de barras atornilladas no metálica
31321709	Ensambles de barras atornilladas de acero inoxidable
31321710	Ensambles de barras atornilladas de titanio
31321711	Ensambles de barras atornilladas de aleación wasp
31321712	Ensambles de barras atornilladas de cobre
31321713	Ensambles de barras atornilladas de latón
31331100	Conjuntos estructurales con acabado ligado
31331101	Ensambles estructurales pegados de aluminio
31331102	Ensambles estructurales pegados de acero al carbono
31331103	Ensambles estructurales pegados de aleación hast x
31331104	Ensambles estructurales pegados de inconel
31331105	Ensambles estructurales pegados de acero de aleación baja
31331106	Ensambles estructurales pegados no metálica
31331109	Ensambles estructurales pegados de acero inoxidable
31331110	Ensambles estructurales pegados de titanio
31331111	Ensambles estructurales pegados de aleación wasp
31331112	Ensambles estructurales pegados de cobre
31331113	Ensambles estructurales pegados de latón
31331200	Conjuntos estructurales empernados
31331201	Ensambles estructurales atornillados de aluminio
31331202	Ensambles estructurales atornillados de acero al carbono
31331203	Ensambles estructurales atornillados de aleación hast x
31331204	Ensambles estructurales atornillados de inconel
31331205	Ensambles estructurales atornillados de acero de aleación baja
31331206	Ensambles estructurales atornillados no metálica
31331209	Ensambles estructurales atornillados de acero inoxidable
31331210	Ensambles estructurales atornillados de titanio
31331211	Ensambles estructurales atornillados de aleación wasp
31331212	Ensambles estructurales atornillados de cobre
31331213	Ensambles estructurales atornillados de latón
31331300	Conjuntos estructurales soldado sónico
31331301	Ensambles estructurales con soldadura sónica de aluminio
31331302	Ensambles estructurales con soldadura sónica de acero al carbono
31331303	Ensambles estructurales con soldadura sónica de aleación hast x
31331304	Ensambles estructurales con soldadura sónica de inconel
31331305	Ensambles estructurales con soldadura sónica de acero de aleación baja
31331306	Ensambles estructurales con soldadura sónica no metálica
31331309	Ensambles estructurales con soldadura sónica de acero inoxidable
31331310	Ensambles estructurales con soldadura sónica de titanio
31331311	Ensambles estructurales con soldadura sónica de aleación wasp
31331312	Ensambles estructurales con soldadura sónica de cobre
31331313	Ensambles estructurales con soldadura sónica de latón
31331400	Conjuntos estructurales soldados con ultra violeta UV
31331401	Ensambles estructurales con soldadura ultra violeta de aluminio
31331402	Ensambles estructurales con soldadura ultra violeta de acero al carbono
31331403	Ensambles estructurales con soldadura ultra violeta de aleación hast x
31331404	Ensambles estructurales con soldadura ultra violeta de inconel
31331405	Ensambles estructurales con soldadura ultra violeta de acero de aleación baja
31331406	Ensambles estructurales con soldadura ultra violeta no metálica
31331409	Ensambles estructurales con soldadura ultra violeta de acero inoxidable
31331410	Ensambles estructurales con soldadura ultra violeta de titanio
31331411	Ensambles estructurales con soldadura ultra violeta de aleación wasp
31331412	Ensambles estructurales con soldadura ultra violeta de cobre
31331413	Ensambles estructurales con soldadura ultra violeta de latón
31331500	Conjuntos estructurales soldado de solvente
31331501	Ensambles estructurales con soldadura de solvente de aluminio
31331502	Ensambles estructurales con soldadura de solvente de acero al carbono
31331503	Ensambles estructurales con soldadura de solvente de aleación hast x
31331504	Ensambles estructurales con soldadura de solvente de inconel
31331505	Ensambles estructurales con soldadura de solvente de acero de aleación baja
31331506	Ensambles estructurales con soldadura de solvente no metálica
31331509	Ensambles estructurales con soldadura de solvente de acero inoxidable
31331510	Ensambles estructurales con soldadura de solvente de titanio
31331511	Ensambles estructurales con soldadura de solvente de aleación wasp
31331512	Ensambles estructurales con soldadura de solvente de cobre
31331513	Ensambles estructurales con soldadura de solvente de latón
31331600	Conjuntos estructurales soldado o soldado con latón
31331601	Ensambles estructurales con soldadura de fuerte o débil de aluminio
31331602	Ensambles estructurales con soldadura de fuerte o débil de acero al carbono
31331603	Ensambles estructurales con soldadura de fuerte o débil de aleación hast x
31331604	Ensambles estructurales con soldadura de fuerte o débil de inconel
31331605	Ensambles estructurales con soldadura de fuerte o débil de acero de aleación baja
31331606	Ensambles estructurales con soldadura de fuerte o débil no metálica
31331609	Ensambles estructurales con soldadura de fuerte o débil de acero inoxidable
31331610	Ensambles estructurales con soldadura de fuerte o débil de titanio
31331611	Ensambles estructurales con soldadura de fuerte o débil de aleación wasp
31331612	Ensambles estructurales con soldadura de fuerte o débil de cobre
31331613	Ensambles estructurales con soldadura de fuerte o débil de latón
31331700	Conjuntos estructurales remachados
31331701	Ensambles estructurales remachados de aluminio
31331702	Ensambles estructurales remachados de acero al carbono
31331703	Ensambles estructurales remachados de aleación hast x
31331704	Ensambles estructurales remachados de inconel
31331705	Ensambles estructurales remachados de acero de aleación baja
31331706	Ensambles estructurales remachados no metálica
31331709	Ensambles estructurales remachados de acero inoxidable
31331710	Ensambles estructurales remachados de titanio
31331711	Ensambles estructurales remachados de aleación wasp
31331712	Ensambles estructurales remachados de cobre
31331713	Ensambles estructurales remachados de latón
31341100	Conjuntos de placa soldado o soldado con latón
31341101	Ensambles de láminas soldadas con soldadura fuerte o débil de aluminio
31341102	Ensambles de láminas soldadas con soldadura fuerte o débil de acero al carbono
31341103	Ensambles de láminas soldadas con soldadura fuerte o débil de aleación hast x
31341104	Ensambles de láminas soldadas con soldadura fuerte o débil de inconel
31341105	Ensambles de láminas soldadas con soldadura fuerte o débil de acero de aleación baja
31341106	Ensambles de láminas soldadas con soldadura fuerte o débil no metálica
31341109	Ensambles de láminas soldadas con soldadura fuerte o débil de acero inoxidable
31341110	Ensambles de láminas soldadas con soldadura fuerte o débil de titanio
31341111	Ensambles de láminas soldadas con soldadura fuerte o débil de aleación wasp
31341112	Ensambles de láminas soldadas con soldadura fuerte o débil de cobre
31341113	Ensambles de láminas soldadas con soldadura fuerte o débil de latón
31341200	Conjuntos remachados de placa
31341201	Ensambles de láminas remachadas de aluminio
31341202	Ensambles de láminas remachadas de acero al carbono
31341203	Ensambles de láminas remachadas de aleación hast x
31341204	Ensambles de láminas remachadas de inconel
31341205	Ensambles de láminas remachadas de acero de aleación baja
31341206	Ensambles de láminas remachadas no metálica
31341209	Ensambles de láminas remachadas de acero inoxidable
31341210	Ensambles de láminas remachadas de titanio
31341211	Ensambles de láminas remachadas de aleación wasp
31341212	Ensambles de láminas remachadas de cobre
31341213	Ensambles de láminas remachadas de latón
31341300	Conjuntos de láminas soldadas con ultra violeta UV
31341301	Ensambles de láminas soldadas con soldadura ultra violeta de aluminio
31341302	Ensambles de láminas soldadas con soldadura ultra violeta de acero al carbono
31341303	Ensambles de láminas soldadas con soldadura ultra violeta de aleación hast x
31341304	Ensambles de láminas soldadas con soldadura ultra violeta de inconel
31341305	Ensambles de láminas soldadas con soldadura ultra violeta de acero de aleación baja
31341306	Ensambles de láminas soldadas con soldadura ultra violeta no metálica
31341309	Ensambles de láminas soldadas con soldadura ultra violeta de acero inoxidable
31341310	Ensambles de láminas soldadas con soldadura ultra violeta de titanio
31341311	Ensambles de láminas soldadas con soldadura ultra violeta de aleación wasp
31341312	Ensambles de láminas soldadas con soldadura ultra violeta de cobre
31341313	Ensambles de láminas soldadas con soldadura ultra violeta de latón
31341400	Conjuntos de lámina soldada sónica
31341401	Ensambles de láminas soldadas con soldadura sónica de aluminio
31341402	Ensambles de láminas soldadas con soldadura sónica de acero al carbono
31341403	Ensambles de láminas soldadas con soldadura sónica de aleación hast x
31341404	Ensambles de láminas soldadas con soldadura sónica de inconel
31341405	Ensambles de láminas soldadas con soldadura sónica de acero de aleación baja
31341406	Ensambles de láminas soldadas con soldadura sónica no metálica
31341409	Ensambles de láminas soldadas con soldadura sónica de acero inoxidable
31341410	Ensambles de láminas soldadas con soldadura sónica de titanio
31341411	Ensambles de láminas soldadas con soldadura sónica de aleación wasp
31341412	Ensambles de láminas soldadas con soldadura sónica de cobre
31341413	Ensambles de láminas soldadas con soldadura sónica de latón
31341500	Conjuntos de lámina soldada de solvente
31341501	Ensambles de láminas soldadas con soldadura solvente de aluminio
31341502	Ensambles de láminas soldadas con soldadura solvente de acero al carbono
31341503	Ensambles de láminas soldadas con soldadura solvente de aleación hast x
31341504	Ensambles de láminas soldadas con soldadura solvente de inconel
31341505	Ensambles de láminas soldadas con soldadura solvente de acero de aleación baja
31341506	Ensambles de láminas soldadas con soldadura solvente no metálica
31341509	Ensambles de láminas soldadas con soldadura solvente de acero inoxidable
31341510	Ensambles de láminas soldadas con soldadura solvente de titanio
31341511	Ensambles de láminas soldadas con soldadura solvente de aleación wasp
31341512	Ensambles de láminas soldadas con soldadura solvente de cobre
31341513	Ensambles de láminas soldadas con soldadura solvente de latón
31341600	Conjuntos de lámina con acabado ligado
31341601	Ensambles de láminas pegadas de aluminio
31341602	Ensambles de láminas pegadas de acero al carbono
31341603	Ensambles de láminas pegadas de aleación hast x
31341604	Ensambles de láminas pegadas de inconel
31341605	Ensambles de láminas pegadas de acero de aleación baja
31341606	Ensambles de láminas pegadas no metálica
31341609	Ensambles de láminas pegadas de acero inoxidable
31341610	Ensambles de láminas pegadas de titanio
31341611	Ensambles de láminas pegadas de aleación wasp
31341612	Ensambles de láminas pegadas de cobre
31341613	Ensambles de láminas pegadas de latón
31341700	Conjuntos de lámina empernada
31341701	Ensambles de láminas atornilladas de aluminio
31341702	Ensambles de láminas atornilladas de acero al carbono
31341703	Ensambles de láminas atornilladas de aleación hast x
31341704	Ensambles de láminas atornilladas de inconel
31341705	Ensambles de láminas atornilladas de acero de aleación baja
31341706	Ensambles de láminas atornilladas no metálica
31341709	Ensambles de láminas atornilladas de acero inoxidable
31341710	Ensambles de láminas atornilladas de titanio
31341711	Ensambles de láminas atornilladas de aleación wasp
31341712	Ensambles de láminas atornilladas de cobre
31341713	Ensambles de láminas atornilladas de latón
31351100	Conjuntos de tubos soldados con ultra violeta UV
31351101	Ensambles de tubos soldados con soldadura ultra violeta de aluminio
31351102	Ensambles de tubos soldados con soldadura ultra violeta de acero al carbono
31351103	Ensambles de tubos soldados con soldadura ultra violeta de aleación hast x
31351104	Ensambles de tubos soldados con soldadura ultra violeta de inconel
31351105	Ensambles de tubos soldados con soldadura ultra violeta de acero de aleación baja
31351106	Ensambles de tubos soldados con soldadura ultra violeta no metálica
31351109	Ensambles de tubos soldados con soldadura ultra violeta de acero inoxidable
31351110	Ensambles de tubos soldados con soldadura ultra violeta de titanio
31351111	Ensambles de tubos soldados con soldadura ultra violeta de aleación wasp
31351112	Ensambles de tubos soldados con soldadura ultra violeta de cobre
31351113	Ensambles de tubos soldados con soldadura ultra violeta de latón
31351200	Conjuntos de tubería soldada o soldada con latón
31351201	Ensambles de tubos soldados con soldadura fuerte o débil de aluminio
31351202	Ensambles de tubos soldados con soldadura fuerte o débil de acero al carbono
31351203	Ensambles de tubos soldados con soldadura fuerte o débil de aleación hast x
31351204	Ensambles de tubos soldados con soldadura fuerte o débil de inconel
31351205	Ensambles de tubos soldados con soldadura fuerte o débil de acero de aleación baja
31351206	Ensambles de tubos soldados con soldadura fuerte o débil no metálica
31351209	Ensambles de tubos soldados con soldadura fuerte o débil de acero inoxidable
31351210	Ensambles de tubos soldados con soldadura fuerte o débil de titanio
31351211	Ensambles de tubos soldados con soldadura fuerte o débil de aleación wasp
31351212	Ensambles de tubos soldados con soldadura fuerte o débil de cobre
31351213	Ensambles de tubos soldados con soldadura fuerte o débil de latón
31351300	Conjuntos de tubería remachada
31351301	Ensambles de tubos remachados de aluminio
31351302	Ensambles de tubos remachados de acero al carbono
31351303	Ensambles de tubos remachados de aleación hast x
31351304	Ensambles de tubos remachados de inconel
31351305	Ensambles de tubos remachados de acero de aleación baja
31351306	Ensambles de tubos remachados no metálica
31351309	Ensambles de tubos remachados de acero inoxidable
31351310	Ensambles de tubos remachados de titanio
31351311	Ensambles de tubos remachados de aleación wasp
31351312	Ensambles de tubos remachados de cobre
31351313	Ensambles de tubos remachados de latón
31351400	Conjuntos de tubería ligada
31351401	Ensambles de tubos pegados de aluminio
31351402	Ensambles de tubos pegados de acero al carbono
31351403	Ensambles de tubos pegados de aleación hast x
31351404	Ensambles de tubos pegados de inconel
31351405	Ensambles de tubos pegados de acero de aleación baja
31351406	Ensambles de tubos pegados no metálica
31351409	Ensambles de tubos pegados de acero inoxidable
31351410	Ensambles de tubos pegados de titanio
31351411	Ensambles de tubos pegados de aleación wasp
31351412	Ensambles de tubos pegados de cobre
31351413	Ensambles de tubos pegados de latón
31351500	Conjuntos de tubería empernados
31351501	Ensambles de tubos atornillados de aluminio
31351502	Ensambles de tubos atornillados de acero al carbono
31351503	Ensambles de tubos atornillados de aleación hast x
31351504	Ensambles de tubos atornillados de inconel
31351505	Ensambles de tubos atornillados de acero de aleación baja
31351506	Ensambles de tubos atornillados no metálica
31351509	Ensambles de tubos atornillados de acero inoxidable
31351510	Ensambles de tubos atornillados de titanio
31351511	Ensambles de tubos atornillados de aleación wasp
31351512	Ensambles de tubos atornillados de cobre
31351513	Ensambles de tubos atornillados de latón
31351600	Conjuntos de tubería soldada de solvente
31351601	Ensambles de tubos soldados con disolvente de aluminio
31351602	Ensambles de tubos soldados con disolvente de acero al carbono
31351603	Ensambles de tubos soldados con disolvente de aleación hast x
31351604	Ensambles de tubos soldados con disolvente de inconel
31351605	Ensambles de tubos soldados con disolvente de acero de aleación baja
31351606	Ensambles de tubos soldados con disolvente no metálica
31351609	Ensambles de tubos soldados con disolvente de acero inoxidable
31351610	Ensambles de tubos soldados con disolvente de titanio
31351611	Ensambles de tubos soldados con disolvente de aleación wasp
31351612	Ensambles de tubos soldados con disolvente de cobre
31351613	Ensambles de tubos soldados con disolvente de latón
31351700	Conjuntos de tubería soldada sónica
31351701	Ensambles de tubos soldados con soldadura sónica de aluminio
31351702	Ensambles de tubos soldados con soldadura sónica de acero al carbono
31351703	Ensambles de tubos soldados con soldadura sónica de aleación hast x
31351704	Ensambles de tubos soldados con soldadura sónica de inconel
31351705	Ensambles de tubos soldados con soldadura sónica de acero de aleación baja
31351706	Ensambles de tubos soldados con soldadura sónica no metálica
31351709	Ensambles de tubos soldados con soldadura sónica de acero inoxidable
31351710	Ensambles de tubos soldados con soldadura sónica de titanio
31351711	Ensambles de tubos soldados con soldadura sónica de aleación wasp
31351712	Ensambles de tubos soldados con soldadura sónica de cobre
31351713	Ensambles de tubos soldados con soldadura sónica de latón
31361100	Conjuntos de placa ligados
31361101	Ensambles de placas soldadas de aluminio
31361102	Ensambles de placas soldadas de acero al carbono
31361103	Ensambles de placas soldadas de aleación hast x
31361104	Ensambles de placas soldadas de inconel
31361105	Ensambles de placas soldadas de acero de aleación baja
31361106	Ensambles de placas soldadas no metálica
31361109	Ensambles de placas soldadas de acero inoxidable
31361110	Ensambles de placas soldadas de titanio
31361111	Ensambles de placas soldadas de aleación wasp
31361112	Ensambles de placas soldadas de cobre
31361113	Ensambles de placas soldadas de latón
31361200	Conjuntos de placa empernados
31361201	Ensambles de placas atornilladas de aluminio
31361202	Ensambles de placas atornilladas de acero al carbono
31361203	Ensambles de placas atornilladas de aleación hast x
31361204	Ensambles de placas atornilladas de inconel
31361205	Ensambles de placas atornilladas de acero de aleación baja
31361206	Ensambles de placas atornilladas no metálica
31361209	Ensambles de placas atornilladas de acero inoxidable
31361210	Ensambles de placas atornilladas de titanio
31361211	Ensambles de placas atornilladas de aleación wasp
31361212	Ensambles de placas atornilladas de cobre
31361213	Ensambles de placas atornilladas de latón
31361300	Conjuntos de placa soldados de solvente
31361301	Ensambles de placas soldadas con solvente de aluminio
31361302	Ensambles de placas soldadas con solvente de acero al carbono
31361303	Ensambles de placas soldadas con solvente de aleación hast x
31361304	Ensambles de placas soldadas con solvente de inconel
31361305	Ensambles de placas soldadas con solvente de acero de aleación baja
31361306	Ensambles de placas soldadas con solvente no metálica
31361309	Ensambles de placas soldadas con solvente de acero inoxidable
31361310	Ensambles de placas soldadas con solvente de titanio
31361311	Ensambles de placas soldadas con solvente de aleación wasp
31361312	Ensambles de placas soldadas con solvente de cobre
31361313	Ensambles de placas soldadas con solvente de latón
31361400	Conjuntos de placas soldadas o soldadas con latón
31361401	Ensambles de placas soldadas con soldadura fuerte o débil de aluminio
31361402	Ensambles de placas soldadas con soldadura fuerte o débil de acero al carbono
31361403	Ensambles de placas soldadas con soldadura fuerte o débil de aleación hast x
31361404	Ensambles de placas soldadas con soldadura fuerte o débil de inconel
31361405	Ensambles de placas soldadas con soldadura fuerte o débil de acero de aleación baja
31361406	Ensambles de placas soldadas con soldadura fuerte o débil no metálica
31361409	Ensambles de placas soldadas con soldadura fuerte o débil de acero inoxidable
31361410	Ensambles de placas soldadas con soldadura fuerte o débil de titanio
31361411	Ensambles de placas soldadas con soldadura fuerte o débil de aleación wasp
31361412	Ensambles de placas soldadas con soldadura fuerte o débil de cobre
31361413	Ensambles de placas soldadas con soldadura fuerte o débil de latón
31361500	Conjuntos de placas soldadas con ultra violeta UV
31361501	Ensambles de placas soldadas con soldadura ultra violeta de aluminio
31361502	Ensambles de placas soldadas con soldadura ultra violeta de acero al carbono
31361503	Ensambles de placas soldadas con soldadura ultra violeta de aleación hast x
31361504	Ensambles de placas soldadas con soldadura ultra violeta de inconel
31361505	Ensambles de placas soldadas con soldadura ultra violeta de acero de aleación baja
31361506	Ensambles de placas soldadas con soldadura ultra violeta no metálica
31361509	Ensambles de placas soldadas con soldadura ultra violeta de acero inoxidable
31361510	Ensambles de placas soldadas con soldadura ultra violeta de titanio
31361511	Ensambles de placas soldadas con soldadura ultra violeta de aleación wasp
31361512	Ensambles de placas soldadas con soldadura ultra violeta de cobre
31361513	Ensambles de placas soldadas con soldadura ultra violeta de latón
31361600	Conjuntos de placas soldadas con sónico
31361601	Ensambles de placas soldadas con soldadura sónica de aluminio
31361602	Ensambles de placas soldadas con soldadura sónica de acero al carbono
31361603	Ensambles de placas soldadas con soldadura sónica de aleación hast x
31361604	Ensambles de placas soldadas con soldadura sónica de inconel
31361605	Ensambles de placas soldadas con soldadura sónica de acero de aleación baja
31361606	Ensambles de placas soldadas con soldadura sónica no metálica
31361609	Ensambles de placas soldadas con soldadura sónica de acero inoxidable
31361610	Ensambles de placas soldadas con soldadura sónica de titanio
31361611	Ensambles de placas soldadas con soldadura sónica de aleación wasp
31361612	Ensambles de placas soldadas con soldadura sónica de cobre
31361613	Ensambles de placas soldadas con soldadura sónica de latón
31361700	Conjuntos de placas remachadas
31361701	Ensambles de placas remachadas de aluminio
31361702	Ensambles de placas remachadas de acero al carbono
31361703	Ensambles de placas remachadas de aleación hast x
31361704	Ensambles de placas remachadas de inconel
31361705	Ensambles de placas remachadas de acero de aleación baja
31361706	Ensambles de placas remachadas no metálica
31361709	Ensambles de placas remachadas de acero inoxidable
31361710	Ensambles de placas remachadas de titanio
31361711	Ensambles de placas remachadas de aleación wasp
31361712	Ensambles de placas remachadas de cobre
31361713	Ensambles de placas remachadas de latón
31371000	Productos de fibra de cerámica
31371001	Paneles aislantes
31371002	Lana aislante
31371003	Sábanas refractarias
31371100	Ladrillos refractarios
31371101	Ladrillo de mulita
31371102	Ladrillos de silimanita
31371103	Ladrillos resistentes al ácido
31371104	Ladrillos de sílice
31371105	Ladrillos de alta alúmina
31371106	Ladrillos de silicato de calcio
31371107	Ladrillos con formas
31371108	Ladrillos de arcilla de fuego
31371200	Compuestos para moldear
31371201	Moldeables densos
31371202	Moldeables de aislación
31371203	Moldeables bajos en cemento
31371204	Moldeables resistentes a ácidos o a álcalis
31371205	Moldeables resistentes a abrasión
31371206	Moldeables sic
31371207	Moldeables de auto flujo
31371208	Moldeable tabular alúmina
31371209	Moldeable resistente a la erosión
31371210	Moldeable de alta alúmina
31371211	Moldeable de arcilla de fuego
31371212	Moldeable de servicio especial
31371300	Refractarios formados
31371301	Bloques porosos
31371302	Boquillas de zircón
31371400	Losetas refractarias
31371401	Tejas de sílice
